Metabolite	Number_of_IVs_T2DM	Number_of_Proxies_T2DM	Weighted_Mode_Estimate_T2DM	Weighted_Mode_SE_T2DM	Weighted_Mode_Pval_T2DM	Weighted_Median_Estimate_T2DM	Weighted_Median_SE_T2DM	Weighted_Median_Pval_T2DM	Random_IVW_Estimate_T2DM	Random_IVW_SE_T2DM	Random_IVW_Pval_T2DM	Random_IVW_RSE_T2DM	Random_IVW_HetStat_T2DM	Random_IVW_FStat_T2DM	Fixed_IVW_Estimate_T2DM	Fixed_IVW_SE_T2DM	Fixed_IVW_Pval_T2DM	Fixed_IVW_RSE_T2DM	Fixed_IVW_HetStat_T2DM	Fixed_IVW_FStat_T2DM	Egger_Estimate_T2DM	Egger_SE_T2DM	Egger_Pval_T2DM	Egger_Intercept_T2DM	Egger_Intercept_SE_T2DM	Egger_Intercept_Pval_T2DM	Egger_RSE_T2DM	Egger_HetStat_T2DM	Egger_Isq_T2DM	Number_of_IVs_FG	Number_of_Proxies_FG	Weighted_Mode_Estimate_FG	Weighted_Mode_SE_FG	Weighted_Mode_Pval_FG	Weighted_Median_Estimate_FG	Weighted_Median_SE_FG	Weighted_Median_Pval_FG	Random_IVW_Estimate_FG	Random_IVW_SE_FG	Random_IVW_Pval_FG	Random_IVW_RSE_FG	Random_IVW_HetStat_FG	Random_IVW_FStat_FG	Fixed_IVW_Estimate_FG	Fixed_IVW_SE_FG	Fixed_IVW_Pval_FG	Fixed_IVW_RSE_FG	Fixed_IVW_HetStat_FG	Fixed_IVW_FStat_FG	Egger_Estimate_FG	Egger_SE_FG	Egger_Pval_FG	Egger_Intercept_FG	Egger_Intercept_SE_FG	Egger_Intercept_Pval_FG	Egger_RSE_FG	Egger_HetStat_FG	Egger_Isq_FG	Number_of_IVs_HBA1C	Number_of_Proxies_HBA1C	Weighted_Mode_Estimate_HBA1C	Weighted_Mode_SE_HBA1C	Weighted_Mode_Pval_HBA1C	Weighted_Median_Estimate_HBA1C	Weighted_Median_SE_HBA1C	Weighted_Median_Pval_HBA1C	Random_IVW_Estimate_HBA1C	Random_IVW_SE_HBA1C	Random_IVW_Pval_HBA1C	Random_IVW_RSE_HBA1C	Random_IVW_HetStat_HBA1C	Random_IVW_FStat_HBA1C	Fixed_IVW_Estimate_HBA1C	Fixed_IVW_SE_HBA1C	Fixed_IVW_Pval_HBA1C	Fixed_IVW_RSE_HBA1C	Fixed_IVW_HetStat_HBA1C	Fixed_IVW_FStat_HBA1C	Egger_Estimate_HBA1C	Egger_SE_HBA1C	Egger_Pval_HBA1C	Egger_Intercept_HBA1C	Egger_Intercept_SE_HBA1C	Egger_Intercept_Pval_HBA1C	Egger_RSE_HBA1C	Egger_HetStat_HBA1C	Egger_Isq_HBA1C
1-(1-enyl-oleoyl)-GPC (P-18_1)*	2	0	NA	NA	NA	NA	NA	NA	0.154363243823902	0.107805101559876	0.152180091912897	3.61025595572111	13.0339480658198	70.4259935495826	0.154363243823902	0.0298607918336203	2.34810296904461e-7	3.61025595572111	13.0339480658198	70.4259935495826	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.115351902650549	0.0539342881369801	0.0324560051251255	3.74702347380884	14.0401849132745	70.4259935495826	0.115351902650549	0.0143939018567599	1.1108860848289102e-15	3.74702347380884	14.0401849132745	70.4259935495826	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.0712916811381823	0.0286963679446943	0.0129789959855833	2.56619588532817	6.58536132187521	70.4259935495826	0.0712916811381823	0.0111824541956292	1.82585871333268e-10	2.56619588532817	6.58536132187521	70.4259935495826	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	3	0	0.105374589083325	0.0166467170096089	2.45078134905981e-10	0.107088607117616	0.0168725937324662	2.19701743673375e-10	0.130464761021999	0.0745029542882665	0.0799225889057849	4.85445947955859	47.1315536773525	187.600788537582	0.130464761021999	0.015347322313017	1.88262795212413e-17	4.85445947955859	47.1315536773525	187.600788537582	-0.149785503142675	0.236235497543363	0.526047125821037	0.0502312803874283	0.0406418570483923	0.21647735860718	4.31821433787018	18.6469750677876	0.978368163782329	3	0	0.0786684006502052	0.00957153138916416	2.05209874246044e-16	0.0567361327191495	0.0084115342423246	1.52985148303572e-11	0.0575293045008877	0.0268126803543948	0.0319048532378138	3.81010895861856	29.0338605530909	187.600788537582	0.0575293045008877	0.00703724766026543	2.9593392164606003e-16	3.81010895861856	29.0338605530909	187.600788537582	0.169300559038178	0.0891740574336018	0.057624918747458	-0.0208043724137604	0.0160295418054434	0.194329630757335	3.28868246065699	10.8154323270329	0.984699058168295	3	0	0.0367969810823196	0.00643464787094488	1.07424575228217e-8	0.0366591764981399	0.00588619317208263	4.72444777656285e-10	0.037607310811334	0.00839432375055273	7.46121996509688e-6	1.58728137188475	5.03892430706467	187.600788537582	0.037607310811334	0.00528849131555374	1.15071183142486e-12	1.58728137188475	5.03892430706467	187.600788537582	0.0223621799909238	0.0406679940411052	0.582407359680919	0.00279301688323969	0.00716975732477268	0.69686541973015	2.09165079686091	4.37500305600886	0.982149309874284
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18_0_20_4)*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.0561891653982523	0.0154701122300108	2.8111210522857e-4	2.57902467390021	6.65136826858611	370.409090727489	0.0561891653982523	0.00599843513967458	7.44088352819827e-21	2.57902467390021	6.65136826858611	370.409090727489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18_0_18_2)*	2	0	NA	NA	NA	NA	NA	NA	-0.177464575474147	0.117914994410519	0.132318606563815	3.21005650453259	10.304462762292	47.3490425081724	-0.177464575474147	0.0367329965201621	1.35710314435942e-6	3.21005650453259	10.304462762292	47.3490425081724	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.0776187433404088	0.0177086130060907	1.1699868155594e-5	1.08322967260836	1.17338652361921	47.3490425081724	-0.0776187433404088	0.0163479762915369	2.05528007733191e-6	1.08322967260836	1.17338652361921	47.3490425081724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-adrenoyl-GPC (22_4)*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	-0.255080824167037	0.13692168327318	0.0624666557844058	6.9325247550404	48.0598994792479	50.484470223905	-0.255080824167037	0.0197506230574407	3.70072068447286e-38	6.9325247550404	48.0598994792479	50.484470223905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPA (20_4)	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0793303491516294	0.0128376913564877	6.431015610447801e-10	NA	NA	808.455676050236	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.054971652731627	0.00559591674513568	8.91658849460293e-23	NA	NA	808.455676050236	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0279795837256784	0.00427923045216258	6.215486433210789e-11	NA	NA	808.455676050236	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPE (20_4n6)*	3	0	-0.0683214929346657	0.0281585142138893	0.0152529239461812	-0.0759939257880578	0.02135527045456199	3.7289929267635e-4	-0.0745369196737737	0.0382022980832453	0.051043856486766	2.15061040677855	9.25025024348841	133.027611324003	-0.0745369196737737	0.0177634675080316	2.71575102340085e-5	2.15061040677855	9.25025024348841	133.027611324003	-0.0875171865083465	0.190094331810798	0.645237605772769	0.00183349422579691	0.0257497204363458	0.943235053900333	3.03374148540265	9.20358740025307	0.925608750539929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPI (20_4)*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	0.051261789961806	0.0448628588728972	0.253190933985783	6.44101056134845	41.4866170514022	311.495523576119	0.051261789961806	0.00696518945988268	1.84307133263232e-13	6.44101056134845	41.4866170514022	311.495523576119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-arachidoyl-GPC (20_0)	2	0	NA	NA	NA	NA	NA	NA	-0.349508062891598	0.198761466986277	0.07867442667691	5.28697499138225	27.9521045595013	46.7489989108224	-0.349508062891598	0.0375945540333097	1.44771866326427e-20	5.28697499138225	27.9521045595013	46.7489989108224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-dihomo-linoleoyl-GPC (20_2)*	3	0	-0.154602317953062	0.036462450263516	2.23478039168706e-5	-0.197978948203185	0.0441839832292699	7.43688498888129e-6	-0.25308004098136	0.122907653934539	0.0394839657210743	4.51530208655679	40.7759058657281	57.8974386754299	-0.25308004098136	0.0272202505122452	1.43798488902672e-20	4.51530208655679	40.7759058657281	57.8974386754299	-0.767114549096169	0.617932558130595	0.21445020868469	0.0534603365329651	0.0627749111087155	0.394425329646971	4.86155351543486	23.6347025834371	0.393633134680089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
